MAT.1.1	Sanqbof heu-aq, 
LUK.9.56	Aerkhawf, Tsawrhaq-euq Zaqyo-aq, tsawrhaq-euq daefzir-anr lavcawv le-euq maqngeur, tsawrhaq-euq daefzir-anr bibuq-ir-eu gharduq oe-euq ma.” Khoernar-aq, aqyawfmaf yawqpu yawq-anr le-euq mae.
LUK.9.57	Tiqnan, aqyawfmaf garpaer-anr leluf ngae, tsawrhaq tiq ghaq, Yeqsur-anr aernaeq-eu, “Sanqpaq-or! Nawr aqgeugar ir-eu maqkaq, ngar, nawq-euq maeqnan cantaelar ma.” 
LUK.9.58	Khoerngae, Yeqsur aer-eu, “Byaqhir-aq, khaeqbanq baw-awr, mqtav zaw-eu arjir khawf banq jav-eu mae. Aerkhawf, Tsawrhaq-euq Zaqyo-aq, uqduq bafdarkhar khawf maqza.” 
LUK.9.59	Khoernar-aq, Yeqsur yawqghaq yawq-anr aernaeq-eu, “Ngaq-euq maeqnan cantae lar-awq.” Aerkhawf, khoerghaq aer-eu, “Sanqpaq-or! Ngar ghof-ir-awr ngaqda-anr jeqhu bi bafpanq-ir laf.” 
LUK.9.60	Khoerngae, Yeqsur aer-eu, “Shir-euq tsawrhaq-anr-aq, shir-euq tsawrhaq nae bi bafpanq-awq. Aerkhawf, nawr-aq, ir-awr Miqyaer uvlanr-eu garkawv maeqnaeq-ir-awq.”
LUK.9.61	Yawqghaqyawq aer-eu, “Sanqpaq-or! Ngar, nawq-euq maeqnan cantaelar ma. Aerkhawf, ngaq-anr irkanr jawryaf-euq deuq-anr jeqhu bi dzawrgaq-ir laf.” 
LUK.9.62	Khoerngae, Yeqsur aer-eu, “Aqlaf, nyoqtsaeq lafyoeq-anr nyaeftaeq-awr, nanrghof ghofhaw-eu tsawrhaq-aq, Miqyaer uvlanr-eu jeq-anr maqgeux-a.”
LUK.10.1	Khoernar-aq, Sanqpaq Yeqsur, zaqlanr nuideuq 70 ghaq-anr tsaqtsov-awr, aqyawf kharir-eu laer ghae-eu meuqdeuq pudeuq-anr, tiqpaw nyiq ghaq nyiq ghaq-aer aqyawf-euq maeqhu bi’ir-euq mae. 
LUK.10.2	Khoerngae, Yeqsur, aqyawf maf-anr heulof-aer aernaeq-euq mae, “Caer yaeqder lar-euq ghawqmya’ni jav-eu khawf, caer yaeq-eu tsawrhaq yawcuiv nga. Khoermirnae, aqyawf-euq caeryar-anr caer yaeq-eu tsawrhaq bi oeni, nawmaf caeryar-euq Yawsanr ghaq-anr shar-awq. 
LUK.10.3	Nawmaf ir-awq. Hawsher-eq, ngar, nawmaf-anr khaqyaer baqmaf-euq tsanq-anr yawrzaq pyaequr ghae-eu lof-aer, khaerghae-eu ma. 
LUK.10.4	Pyur pawqbaev, paertanr hawr-eu saeqnawv taq yurghae. Garpaer canluf ngae, aqcawq-anr dawqcawq puqpuq-aer taqjawr. 
LUK.10.5	Nymr aqgeu nymr-anr davler-eu maqkaq, ‘Nymr heunymr-euq khoertav nuisar of-eu jeq keuvle luf-ur’ laer jeqhu aer-awq. 
LUK.10.6	Khoergar nuisar-euq zaq jawr nar-aq, nawmaf-euq nuisar of-eu jeq aqyawf-euq khoertav keuv-ir taef-a. Maqjawr nar-aq, nawmaf-anr ghofkhoflar taef-a. 
LUK.10.7	Nawmaf, nymr khoernymr-anr taef-aer jawr-awr, aqyawfmaf nae kharbi dzaq kharbi dawr-eu jeq-anr dzaq-awr dawr-awq. Aqjeq mirnae aernar-aq, gar mr-eu tsawrhaq-aq, ghaqgarpoeq za-eu geux mae. Yawqnymr yawq-anr taq davpar-ir.
LUK.10.8	“Nawmaf, meuq aqgeu meuq-anr ur-ir-eu maqkaq, aqyawfmaf, nawmaf-anr hageuf naeqlaf nar-aq, khar ciqdav naeqlaf-euq jeq dzaq-awq. 
LUK.10.9	Meuq khoermeuq-anr jawr-eu, nar-awr gawr-eu tsawrhaq deuq-anr lavtaq naeq-awr, ‘Miqyaer uvlanr-eu jeq nawmaf-euq dawqpae keuvle taq-euq mae’ laer aernaeq-awq. 
LUK.10.10	Meuq aqgeu meuq-anr ur-ir-eu maqkaq, aqyawfmaf, nawmaf-anr maq hageuf naeqlaf nar-aq, meuq khoermeuq-euq garjawq-anr yawf-awr heulof-aer aer-awq, 
LUK.10.11	‘Nga’maf-euq aqkuir-anr laeflar-euq nawmaf-euq meuq-euq khaqlaer, nawmaf-euq maeqshi sawvkharyaf ma. Aerkhawf, Miqyaer uvlanr-eu jeq nawmaf-euq dawqpae paele-euq ngar-a laer nawmaf siqnya-awq.’ 
LUK.10.12	Ngar, nawmaf-anr aernaeq nyar, arnan khoernan-anr, Sordoq navmaqtser meuq khoermeuq yadaq taef-a.
LUK.10.13	“Kawrlaqseq-or! Nawr ghawqshar shaq-aer ya ghaesaef taef-a. Baeqdzerdaq-or! Nawr ghawqshar shaq-aer ya ghaesaef taef-a. Aqjeq mirnae aernar-aq, nawmaf-euq lafkhoer mr-euq baoq khav duidui-eu gardeuq, Durlu meuq hawr-eu Sirdoq meuq-euq lafkhoer mr-euq lawnmr-aq, aqyawfmaf arhu nae guqdar paerzeur dm-awr, khaqlaer tsanq-anr nuir-awr noeqpov noeqpar taef-a. 
LUK.10.14	Aerkhawf, yarkhaqdar ngae nan, Durlu meuq hawr-eu Sirdoq meuq-aq, nawmaf nav-aer maqya daq-ar. 
LUK.10.15	Gaqbeqneqoq-or! Nawr-aq, mq-anr tuvni bi ciqgor taq-euq khawf, 
LUK.10.16	Nawmaf-euq dawq narhaq geuf-eu tsawrhaq-aq, ngaq-euq dawq narhaq geuf-eu mae. Nawmaf-anr byaerdzae-eu tsawrhaq-aq, ngaq-anr byaerdzae-eu mae. Ngaq-anr byaerdzae-eu tsawrhaq-aq, ngaq-anr bi’oe-euq ghaq-anr byaerdzae-eu mae.”
LUK.10.17	Khoerngae, zaqlanr 70 ghaq laqkhaq caertavni ghoflar-awr aer-eu, “Sanqpaq-or! Nga’maf, nawq-euq tsawrmyanr-anr ghoe ngae, naefdeuq khawf nga’maf-euq aerdawq narhaq-eu mae.” 
LUK.10.18	Yeqsur, aqyawf maf-anr heulof-aer aernaeq-euq mae, “Ngar, naef Saqdaq mqmyawf myawf-eu lof-aer mq-anr nae gale-eu gar mawr-euq ma. 
LUK.10.19	Ngar, nawmaf-anr arlawr hawr-eu boeqkaqlaqma-anr nawqtaeq nya-awr, nawmaf-anr muir-eu deuq-euq baoq dawqtawv luf-anr ghaqler nya’ni, aryaq bif-euq ma. Nawmaf-anr lavtanq lavnar nya-eu tiqjeq-iq maqjav-ar. 
LUK.10.20	Aerkhawf, naefdeuq, nawmaf-euq aerdawq narhaq-eu mirnae laqkhaq taqcaer. Mq-euq khoertav nawmaf-euq tsawrmyanr bofanr taq-euq mirnae laqkhaq caer-awq.”
LUK.10.21	Khoerngae, Yeqsur, Yawshawr Saflar-euq baqda’nae laqkhaq caer-awr heulof-aer aer-eu mae: “Mq hawr-eu mir-euq Yawsanr pyeuf-eu Aqda-or! Ngar, nawq-anr jaceuq ma. Aqjeq mirnae aernar-aq, nawr, zaqsiq tsawrganr anr-eu tsawrhaq hawr-eu noeqdanr doe-eu tsawrhaq-anr nae garkawv heudeuq zaftaq-awr, zaqnanq deuq-anr panmaeq naeq-euq mae. Aqda-or! Heu-aq, nawr nuima tsaq-eu jeq pyeuf-eu mae. 
LUK.10.22	Heudeuq dawqtawvluf ngaqDa nae, ngaq-anr bifnaeq laf-euq mae. Aqda maqngeur nar-aq, Zaqyo aqsur ghaq-a laer tiqghaq-iq maq siqnya-a. Zaqyo hawr-eu Zaqyo panmaeqnaeq mawf-eu tsawrhaq maqngeur nar-aq, Aqda aqsur ghaq-a laer tiqghaq-iq maq siqnya-a.”
LUK.10.23	Khoerngae, Yeqsur, zaqlanr deuq jawr-eu paw ghawrpyawr-awr, aqyawf maf-anr taef-aer ciqcurni heulof-aer aernaeq-euq mae, “Nawmaf nae ya’mawr-euq deuq-anr ya’mawr-euq myavnuiv-aq, guiqlanq huiq-eu mae. 
LUK.10.24	Ngar, nawmaf-anr aernaeq nyar, arhu-euq, Miqyaer gharduq ngaeqdan-eu tsawrhaq ghawqmya ghaq hawr-eu mirkhanq-euq sanqpaq ghawqmya ghaq, nawmaf nae ya’mawr-euq deuq-anr mawrmawf-eu khawf maqya mawr-aer, nawmaf nae yagaq-euq deuq-anr gaqmawf-eu khawf maqya gaq-aq.”
LUK.10.25	Khoerngae, zanrdawq siqzaq tiq ghaq, Yeqsur-anr tsermr haw-eu laer lar-awr aer-eu, “Sanqpaq-or! Ngar mqmaq maqbyav yarzir daef-eu jeqbir ofni aqjeq ya’mr-eu la?” 
LUK.10.26	Khoerngae, Yeqsur, aqyawf-anr aernaeq-eu, “Zanrdawq-euq lafkhoer aqjeq laer boftaq-euq la? Nawr aqjeq guimawr-euq le?” 
LUK.10.27	Aqyawf aerkhof-eu,
LUK.10.28	Yeqsur, aqyawf-anr aernaeq-eu, “Nawr aerkhof naeqlaf-eu tsaq mae. Nawr khoerlof-aer mr-ir-awq. Mr nar-aq, saflar yadaef taef-a.”
LUK.10.29	Aerkhawf, heughaq, yawqha-aq tsaq-awr dawr-eu ma laer geufmawf-eu mirnae Yeqsur-anr narhaq-eu, “Ngaq-euq dawqpae jawr-eu tsawrhaq aqsur ghaq la?”
LUK.10.30	Khoerngae, Yeqsur heulof-aer aerkhof naeq-eu mae, “Tsawrhaq tiq ghaq, Yeqlursaqlaeq-anr nae Yeqlirkor-anr irluf ngae, tanrjoe nae bidae-euq mae. Aqyawfmaf, aqyawf-euq maeqtsoeq nyaeflaevjir naeq-awr, aqyawf-anr lavnar-awr, maqshir maqdaef-aer byaerdzae yaf-awr can-euq mae. 
LUK.10.31	Khoernar-aq, pirma tiq ghaq garma khoerkanr irba tsaq-awr, tsawrhaq khoerghaq-anr ya’mawr ngae, garjaw jaw-awr irdzeur ghae-euq mae. 
LUK.10.32	Khoerlof-aer durni, Leqbir tsawrhaq tiq ghaq khawf khoergar irkeuv ngae, lepae-awr haw-euq nar-aq, garjaw jaw-awr irdzeur ghae-euq mae. 
LUK.10.33	Aerkhawf, Saqmaqliv tsawrhaq tiq ghaq garma khoerkanr-anr canluf ngae, tsawrhaq khoerghaq ga-eu gar irkeuv-awr aqyawf-anr ya’mawr ngae, aqyawf-anr ghawqshaqgaq duidui-eu mae. 
LUK.10.34	Khoermirnae, aqyawf ga-eu gar ir-awr, markhaeq-anr aqgaf dzaruir hawr-eu tsir laefnaeq-awr, saqpar nae lanrcuf naeq-euq mae. Khoernar-aq, aqyawf-euq jeqzaq-euq khoertav bafdziq-awr, daqyan yafduq-anr sheuqghae-awr nae, aqyawf-anr bosav naeq-euq mae.
LUK.10.35	“Nishawq ngae nan, aqyawf dov-ir ngae, yawsanr ghaq-anr pyur nyiq byav yurdov naeq-awr aer-eu, ‘Aqyawf-anr bosav naeq-awq. Heumyav maqtser zmqdzaeq-euq nar-aq, ngar par ghoflar ngae, nawq-anr tsoeqnaeq ma.’ 
LUK.10.36	Nawr sharnoeq ngae, tsawrhaq heu smr ghaq-euq lafkhoer nae, tanrjoe nae bidae-euq khoerghaq-euq dawqpae jawr-eu laer aernya-eu tsawrhaq aqgeu ghaq nya?” 
LUK.10.37	Aqyawf aer-eu, “Aqyawf-anr ghawqshaq gaqnaeq-euq khoerghaq mir-a.” Khoerngae, Yeqsur aer-eu, “Nawr khawf ir-awr khoerlof-aer mr-ir-awq.”
LUK.10.38	Aqyawfmaf garpaer-anr leluf ngae, Yeqsur, pu tiq pu-anr urler-euq mae. Maqta laer kur-eu zaqmiq aqbur tiq ghaq, Yeqsur-anr aqyawf-euq irkanr ha’ur-euq mae. 
LUK.10.39	Maqta-aq, Maqliv laer kur-eu aqnyir tiq ghaq jawr-eu mae. Maqliv-aq, Yeqsur-euq aqkuir-euq dawqpae nuir-awr, aqyawf-euq dawq narhaq luf-eu mae. 
LUK.10.40	Aerkhawf, Maqta-aq, aqjax mr-awr banqgha luf-eu mirnae, Yeqsur jawr-eu gar lar-awr aer-eu, “Sanqpaq-or! Ngaq-euq aqnyir, ngaq-anr taef-aer byaerdzae-awr aqjax bi mrnaeq laf-euq gar, nawr tiqjeq-iq maq sharnoeq-eu nya lor? Ngaq-anr cawba naeq-awq laer aqyawf-anr aernaeq sher-eq.” 
LUK.10.41	Khoerngae, Yeqsur, aqyawf-anr heulof-aer aerkhof naeq-euq mae, “Maqta-or! Maqta, nawr-aq, ghawqmya jeq-anr nuima maqsar-aer khanqlanr luf-eu nga. 
LUK.10.42	Aerkhawf, mawf-eu-aq tiqjeq jav-eu taef mae. Maqliv-aq, aqcawq maq ludov nya-eu muiqdzaeq-eu khoerjeq-anr tsergeuf-euq mae.”
LUK.11.1	Khoerngae, heulof-aer pyeuflar-euq mae. Yeqsur tiqgarpaw jawr-awr guiqlanq sharluf-eu mae. Aqyawf guiqlanq sharghaq ngae, aqyawf-euq zaqlanr deuq-anr nae tiq ghaq, aqyawf-anr aernaeq-eu, “Sanqpaq-or! Yorhaq, aqyawf-euq zaqlanr deuq-anr guiqlanq aqjox-aer yashar-eu la laer maeqnaeq-euq lof-aer, nga’maf-anr khawf maeqnaeq laf-awq.”
LUK.11.2	Khoerngae, Yeqsur heulof-aer aernaeq-euq mae, “Nawmaf guiqlanqshar ngae heulof-aer shar-awq:
LUK.11.2	Mq-euq khoertav jawr-eu nga’maf-euq Aqda-or!
LUK.11.2	Nawq-euq tsawrmyanr-anr yawzeu bibaw law.
LUK.11.2	Nawr uvlanr-eu jeq bi keuvle law.
LUK.11.2	Mq-euq khoertav nawr nuikhanr shir-eu jeq byan-eu lof-aer, mirtsaq-euq khoertav khawf bi byanle law.
LUK.11.3	Iqnan mawf-eu dzaq-awr dawr-eu jeq, iqnan nga’maf-anr bifnaeqlaf.
LUK.11.4	Nga’maf-euq iqbax-anr pyaeqnaeqlaf.
LUK.11.4	Aqjeq mirnae aernar-aq, nga’maf khawf nga’maf-anr mrbanq-euq dzirdzov dav-eu yawqghaq navluf-anr pyaeqnaeq-euq ma.
LUK.11.4	Iqbax murjur jur-eu maeqnan nga’maf-anr taqbi ir naeqlaf.
LUK.11.4	Yawdoer ghaq-anr nae nga’maf-anr bibuq-ir naeqlaf.”
LUK.11.5	Yeqsur heulof-aer par aernaeq-euq mae: “Nawmaf-euq lafkhoer tiqghaqnav uqcif saerghanr caelar ngae, aqyawf-euq cawq jawr-eu gar ir-awr aer-eu, ‘Cawq-or! Ngaq-anr kaqmur smr siq parnaeqlaf sher-eq. 
LUK.11.6	Aqjeq mirnae aernar-aq, ngaq-euq cawq tiq ghaq garmanr kaq-eu gar nae ngar jawr-eu gar candov laf-awr, aqyawf-anr tiqjeq-iq ciqdav naeq-eu maqjav nga.’
LUK.11.7	Khoerngae, nymrsanr ghaq lafkhoer paw nae aerkhof naeq-eu, ‘Ngaq-anr taq banqghalar naeqlaf. Larghov kaftaeq dzeur-awr, ngaq-euq zaqdeuq khawf, ngaq naeq-aer yufzar-anr yufluf-eu mirnae, ngar tur-awr nawq-anr bif-eu maqyaef nya.’ 
LUK.11.8	Ngar, nawmaf-anr aernaeq nyar, aqyawf, cawq pyeuf-eu nga laer tur-awr maq bifnaeq le-eu khawf, tsawrhaq khoerghaq maq naqlerni shar-eu mirnae, nymrsanr ghaq turlar-awr, khoerghaq kharmawf-eu lof-aer bifnaeq taef-a.
LUK.11.9	“Ngar, nawmaf-anr aernaeq nyar. Shar-awq, shar nar-aq za taef-a. Pov-awq, pov nar-aq mawrle taef-a. Khov-awq, khov nar-aq nawmaf-anr pannaeqlaf taef-a. 
LUK.11.10	Aqjeq mirnae aernar-aq, kharshar-eu tsawrhaq za taef-a. Kharpov-eu tsawrhaq ya’mawr taef-a. Kharkhov-eu tsawrhaq-anr khawf, aqyawf-anr pannaeqle taef-a.
LUK.11.11	“Nawmaf-euq lafkhoer aqda aqgeu ghaq maqkaq, zaqyo kaqmur shar-eu gar, khaqlo bifnaeq ma lor? Maqngeur nar-aq, ngaqshaq shar-eu gar, aqyawf-anr ngaqshaq-euq danzar arlawr nyaefnaeq ma laq? 
LUK.11.12	Maqngeur nar-aq, aqyawf, ya’uv shar-eu gar, aqyawf-anr boeqkhaqlaqma nyaefnaeq ma lor? 
LUK.11.13	Nawmaf, tsawrdoer pyeuf-eu khawf, yawqha-euq zaq-anr lafsawq yawmuiq bifnaeq-eu siqnya-eu mae. Khoernav maqtser, mq-euq khoertav jawr-eu nawmaf-euq Aqda, aqyawf-anr shar-eu deuq-anr Yawshawr Saflar bifnaeq mawf-eu mae!”
LUK.11.14	Aqdzawq bidzawq-ir-eu naef tiq mawr-anr Yeqsur taedov naeq-euq mae. Naef dov-ir ghaq-euq nar-aq, aqdzawq khoerghaq dawq ngaeqnya lar-euq mirnae, tsawrhaq armaf deuq zanqler-euq mae. 
LUK.11.15	Khoerngae, aqyawf maf-euq lafkhoer jawr-eu tiqpavnav deuq aer-eu, “Aqyawf-aq, naef deuq-anr uvlanr-eu ghaq, 
LUK.11.16	Aerkhawf, tiqpavnav deuq, aqyawf-anr tsermrhaw mawf-eu mirnae, mq-euq khoertav-euq bisiq bimawr-eu jeq-anr sharpov-eu mae.
LUK.11.17	Aerkhawf, Yeqsur, aqyawf maf-euq nuinoeq-anr siqnya-eu mirnae, aqyawf maf-anr heulof-aer aernaeq-euq mae: “Birpav-awr muir-eu mirkhanq yawqkhanq navluf khanqtsoeq tsoeq-ir taef-a. Birpav-awr muir-eu nymrkhanq khawf pyav-ir shav-ir taef-a. 
LUK.11.18	Nawmaf-aq, ngar, Beqsaqburlar-anr ghoeghoe-aer naef-anr taedov-eu nga laer aer-eu nga. Aerkhawf, naef Saqdaq-aq, yawqhar yawqha birpav-awr muir nar-aq, aqyawf uvlanr-eu jeq aqjox-aer zifnya nmr-mq? 
LUK.11.19	Ngar, Beqsaqburlar-anr ghoeghoe-aer naef-anr taedov-eu ngeur nar-aq, nawmaf-euq zaqdeuq lawr nae, aqsur ghaq-anr ghoeghoe-aer naef-anr taedov-eu la? Khoermirnae, aqyawfmaf, nawmaf-anr yarkhaq dar-eu deuq pyeuf taef-a. 
LUK.11.20	Ngar, Miqyaer-euq lafnoer-anr ghoe-awr naef-anr taedov-eu ngeur nar-aq, Miqyaer uvlanr-eu jeq nawmaf-euq khoertav keuvle-euq mae.
LUK.11.21	“Ghaq khav-eu aqda tiq ghaq guirdeuv deuv-eu keuka dawqtawvluf laeqhmqdan taq-awr, aqyawf-euq nymr-anr lofluf ngae, aqyawf-euq myawqganq maqbyov-ir-ar. 
LUK.11.22	Aerkhawf, aqyawf navmaqtser ghaq khav-eu tiq ghaq lar-awr nae aqyawf-anr deuvghaq-euq nar-aq, aqyawf ghoeluf-eu guirdeuv deuv-eu keuka-anr ludov jir-awr, aqyawf-euq myawq yur-awr birgeuf-ir taef-a.
LUK.11.23	Ngar jawr-eu paw maqjawr-eu tsawrhaq-aq, ngaq-anr muir-eu paw jawr-eu mae. Ngaq naeq-aer maq bymrlar-eu tsawrhaq-aq, byavdzae-eu tsawrhaq mae.
LUK.11.24	“Naef yawjawf tiq mawr tsawrhaq tiq ghaq-euq lafkhoer nae dov-ir-awr, guicorni ghae-eu gar irir larlar-aer ghaqnaq naqduq pov ngae, maq povmawr nya-aer aer-eu, ‘Ngar, ngaq nae dovle-euq ngaq-euq nymr-anr ghofler ma.’ 
LUK.11.25	Aqyawf ghofkeuvler ngae, nymr khoernymr yavjur taq-awr juirkheuni lavsav taq-euq gar ya’mawr-euq mae. 
LUK.11.26	Khoerngae, aqyawf ir-awr, aqyawf navmaqtser cawvdzaeq-eu naef shif mawr sheuqlaq-ir-awr jawrler-euq mae. Khoermirnae, arsaq saqlar ngae-aq, tsawrhaq khoerghaq-euq artiv yawbae navmaqtser doerdzaeq-ir-euq mae.”
LUK.11.27	Yeqsur khoerlof-aer aerluf ngae, tsawrhaq armaf mafma-euq lafkhoer nae zaqmiq aqbur tiq ghaq tersar yawkhav-aer aqyawf-anr aernaeq-eu, “Nawq-anr bi daefdov le-awr, aqcoer bidawr-euq ghaq-aq, guiqlanq huiq-eu ngar-a.”
LUK.11.28	Khoerngae, Yeqsur aer-eu, “Khoernav maqtser, Miqyaer-euq dawq yagaq-awr mrcaw-eu tsawrhaq-aq, guiqlanq huiqdzaeq-eu mae.”
LUK.11.29	Tsawrhaq armaf mafma myaqlar duiduiluf ngae, Yeqsur danqbae-awr heulof-aer aer-eu mae: “Heuzir-aq, doer duidui-eu zir mae. Aqyawfmaf bisiq bimawr-eu jeq sharpov-eu mae. Miqyaer gharduq ngaeqdan-eu Yornav-euq bisiq bimawr-eu jeq maqngeur nar-aq, aqyawf maf-anr bisiq bimawr-eu yawqjeqyawq maqbi mawr. 
LUK.11.30	Yornav-aq, Nirnaqbeq meuq-anr jawr-eu tsawrhaq deuq-euq gharduq bisiq bimawr-eu jeq pyeuf-euq lof-aer, Tsawrhaq-euq Zaqyo khawf, heuzir-euq gharduq bisiq bimawr-eu jeq pyeuf taef-a. 
LUK.11.31	Yarkhaqdar ngae nan, lafov paw jav-eu mirkhanq-euq sanqpaqma, heuzir-euq tsawrhaq naeq-aer turlar-awr, aqyawfmaf laeqbymr bi tawvni darnaeq taef-a. Aqjeq mirnae aernar-aq, zaqsiq tsawrganr zawr byan-eu 
LUK.11.32	Yarkhaqdar ngae nan, Nirnaqbeq meuq-anr jawr-eu tsawrhaq deuq, heuzir-euq tsawrhaq naeq-aer turla-awr, aqyawfmaf laeqbymr bi tawvni darnaeq taef-a. Aqjeq mirnae aernar-aq, Yornav dawqmaeq maeq-eu gar aqyawfmaf yagaq ngae, iqbax noeqpov noeqpar-euq mae. Hawsher-eq. Yornav navmaqtser huiqdzaeq-eu ghaq heugar jawrluf ma.
LUK.11.33	“Tsawrhaq tiqghaq-iq tsirkhmq dof-awr barzaf-anr maq ciqtaq-ar. Khavpuq nae khawf maq moftsanq taq-ar. Urlar-eu tsawrhaq yawshaef-anr ya’mawrni, tsirkhmq ciqtaq duq-anr ciqdavtaq taef-a. 
LUK.11.34	Myavnuiv-aq, mawrdo-euq tsirkhmq mae. Khoermirnae, nawq-euq myavnuiv yawmuiq nar-aq, mawrdo dolan-aer yawshaef bya taef-a. Nawq-euq myavnuiv maqmuiq nar-aq, mawrdo dolan-aer zanrtsuini ghae-eu jeq byan taef-a. 
LUK.11.35	Khoermirnae, nawq-euq lafkhoer anr-eu yawshaef zanrtsuini maqbi pyeuf-ir ni yanr-awq. 
LUK.11.36	Nawq-euq mawrdo dolanni yawzanr tiqpawf-iq maqanr-aer, yawshaef taef-aer bya nar-aq, tsirkhmq-euq yawshaef nawq-anr tsaeqbya-eu lof-aer, nawq-euq mawrdo dolan-aer yawshaef bya taef-a.”
LUK.11.37	Yeqsur khoerlof-aer aerluf ngae, Paqliqsaer tiq ghaq, Yeqsur-anr kur-awr aqyawf naeq-aer hawq bi dzaqtaf le-euq mae. Khoermirnae, Yeqsur urler-awr hawqdzaq dzaq-eu laer nuirluf-eu mae. 
LUK.11.38	Yeqsur, aqlaf maqdzuifni hawq dzaq-eu laer ghae-eu gar Paqliqsaer khoerghaq ya’mawr ngae zanqler-euq mae.
LUK.11.39	Khoerngae, Sanqpaq Yeqsur, aqyawf-anr heulof-aer aernaeq-euq mae: “Nymq-mr nawmaf Paqliqsaer deuq-aq, khmqmaq hawr-eu ircuf khmqmaq-euq lafnyir paw yawmuiq-aer jovshawr-eu mae. Aerkhawf, nawmaf-euq lafkhoer paw-aq, maerjuir juir-eu jeq hawr-eu yawcawv jeq tiqbyanni anr-eu mae. 
LUK.11.40	Aqdzawq argan deuq-or! Lafnyir paw bae-euq ghaq, lafkhoer paw khawf bae-euq maqngeur-a lor? 
LUK.11.41	Nawmaf kharjav-eu lof-aer aqcawq-anr gamfnaeq-awq. Gamfnaeq-euq nar-aq, yawqjeq navluf yawshawr mae.
LUK.11.42	“Nawmaf Paqliqsaer deuq-aq, ghawqshar shaq-aer ya ghaesaef taef-a. Aqjeq mirnae aernar-aq, nawmaf-aq, arjir pafdaw, manqsawr hawr-eu kaghawq kadzar yawqjeq navluf tserbymr tiqbymr damqnaeq-eu mae. Aerkhawf, Miqyaer-anr gaq-eu jeq hawr-eu tsaq-awr dawr-eu jeq-anr nawmaf byaerdzae taq-euq mae. Nawmaf heudeuq mr paq-aer ghae-awr, nuideuq-anr khawf byaerdzae paq-aer maqghae-a.
LUK.11.43	“Nawmaf Paqliqsaer deuq ghawqshar shaq-aer ya ghaesaef taef-a. Aqjeq mirnae aernar-aq, nawmaf-aq, zanrdawq khawqnymr-euq lafkhoer khanqsaer jav-eu nuirduq-anr nuir-eu gar gaq-awr, laev-anr can ngae, aqcawq nae yawzeu baw-awr dawqcawq puqlar-eu gar gaq-eu mae! 
LUK.11.44	Yawmuiq janrgeuf-eu Paqliqsaer hawr-eu zanrdawq khofdawq maeqzaq, nawmaf ghawqshar shaq-aer ya ghaesaef taef-a! Aqjeq mirnae aernar-aq, nawmaf-aq, maq mawrlar-eu lmqbymr-anr dur-awr, nawqnawq-aer can-eu deuq khawf lmqbymr nga laer maq siqnya-a.”
LUK.11.45	Khoerngae, zanrdawq siqzaq tiq ghaq, Yeqsur-anr aerkhof naeq-eu, “Saqlaq-or! Nawr teulof-aer aer-eu-aq, nga’maf-anr khawf coeqlar deuqlar mir-a.”
LUK.11.46	Khoerngae, Yeqsur heulof-aer aernaeq-euq mae, “Nawmaf zanrdawq siqzaq deuq khawf ghawqshar shaq-aer ya ghaesaef taef-a! Aqjeq mirnae aernar-aq, nawmaf, aqcawq maq picoer-eu khavbaev ciqpi naeq-eu gar nae, khavbaev bi pyarlarni, nawmaf-aq, lafnoer tiq toeq taef-aer khawf maq toeqciv-a.
LUK.11.47	Nawmaf ghawqshar shaq-aer ya ghaesaef taef-a! Aqjeq mirnae aernar-aq, nawmaf-euq aqpoeq deuq-aq, Miqyaer gharduq ngaeqdan-eu tsawrhaq-anr saef-awr, nawmaf-aq, aqyawf maf-euq lmqbymr gawq-eu mae. 
LUK.11.48	Nawmaf-euq aqpoeq deuq-aq, Miqyaer gharduq ngaeqdan-eu tsawrhaq-anr saef-awr, nawmaf-aq, aqyawf maf-euq lmqbymr gawq-eu mirnae, nawmaf-aq, nawmaf-euq aqpoeq deuq nae mr-euq jeq-anr nuima tsaq mir-a laer sarkir kamq-eu jeq pyeuf-eu mae.
LUK.11.49	“Khoermirnae, Miqyaer-euq zaqsiq tsawrganr-euq dawq aer-eu, ‘Ngar, aqyawfmaf jawr-eu gar ngaq-euq gharduq ngaeqdan-eu tsawrhaq hawr-eu ghaqkhaer deuq-anr bi’oe ngae, aqyawfmaf, aqyawfmaf tiqpavnav deuq-anr saef-awr, tiqpavnav deuq-anr khaeqnaeq khavnaeq taef-a.’ 
LUK.11.50	Khoermirnae, mirtsaq bae ngae nan-anr nae, Miqyaer gharduq ngaeqdan-eu tsawrhaq dawqtawv luf-anr saef-euq shiq-euq arpoeq-aq, heuzir-euq tsawrhaq-euq khoertav keuvle taef-a. 
LUK.11.51	Aqbeqlav-euq shiq-anr nae, lawrduq hawr-eu uqduq tanqnymr nymrma-euq yawkaq-anr bisaef-euq Zeqkaqlir-euq shiq-anr keuvni, heuzir-euq tsawrhaq-euq khoertav keuvle taef-a laer ngar, nawmaf-anr aernaeq-eu ma.
LUK.11.52	“Nawmaf, zanrdawq siqzaq deuq ghawqshar shaq-aer ya ghaesaef taef-a! Aqjeq mirnae aernar-aq, tsawrganr-euq mawqtawfdur nawmaf tuvtaeq taq-awr, nawmaf maq urler-eu uqtaf, urler mawf-eu tsawrhaq-anr khawf, nawmaf lavtsoeq-eu mae.” 
