MAT.1.1	Sanqbof heu-aq, 
MAT.2.5	Aqyawfmaf heulof-aer aerkhof naeq-euq mae, “Yurdav mirkhanq, Baeqlaeqhaeq-anr daefle taef-a. Aqjeq mirnae aernar-aq, Miqyaer gharduq ngaeqdan-eu tsawrhaq heulof-aer boftaq-euq mae:
MAT.2.7	Khoerngae, Heqlor, aqcawq-anr maqbi siqni siqzaq ganryo khoerdeuq-anr kur-awr, aqguir khoersiq dovlar-euq aryamq narhaq duq-euq mae. 
MAT.2.8	Khoernar-aq, aqyawf, aqyawf maf-anr Baeqlaeqhaeq-anr khaerghae-eu naeq-aer aernaeq-eu, “Nawmaf, zaq heughaq-anr yawmuiq-aer povmawr duq-ir-awq. Povmawr-euq nar-aq, ngar khawf aqyawf-anr uqduq yatanqni, ngaq-anr tsafgaqlar de-eq.”
MAT.2.9	Aqyawfmaf, sanqpaq-euq dawq yagaq-awr dov-ir-euq mae. Nanrma dovkhaeq paw ya’mawr-euq aqguir khoersiq par dovle-awr, aqyawf maf-euq maeqhuq maeqhuq-aer irghae-awr, zaq khoerghaq jawr-eu gar irkeuv ngae, khoertav naqler taq-euq mae. 
MAT.2.10	Aqyawfmaf, aqguir khoersiq-anr ya’mawr ngae, laqkhaqcaer duidui-eu mae. 
MAT.2.11	Irkanr urler ngae, aqlizaq hawr-eu aqyawf-euq aqma Maqliv-anr ya’mawr-awr, pawqtsuif pawqdmq dmq-awr, aqlizaq-anr uqduq tanq-euq mae. Khoernar-aq, aqyawfmaf nae yurlaf-euq arpoeq zawr khav-eu lafsawq deuq beuqdov-awr, aqyawf-anr damqnaeq-euq mae. Lafsawq khoerdeuq-aq, shuir, 
MAT.2.12	Yufmav mav-eu lafkhoer, Sanqpaq Miqyaer, aqyawf maf-anr Heqlor jawr-eu gar taq ghofmawrler laer maeqnaeq-euq mirnae, aqyawfmaf yawqpawyawq nae aqyawf maf-euq mirkhanq-anr ghof-ir-euq mae.
MAT.2.13	Aqyawfmaf ghof-ir dzeur-euq nar-aq, Sanqpaq Miqyaer-euq mqtav ghaqkhaer tiq ghaq, Yorsaev yufmav mav-eu lafkhoer dovle-awr aer-eu, “Tur-awr, aqlizaq hawr-eu aqyawf-euq aqma sheuq-awr Irjirtuv-anr caevjawr-ir-awq. Ngar, nawq-anr aernaeqlaf ngae keuvni khoergar jawr-awq. Aqjeq mirnae aernar-aq, Heqlor, aqlizaq-anr saef-eu laer pov taef-a.”
MAT.2.14	Khoerngae, Yorsaev tur-awr, uqcif saerghanr ma-aer aqlizaq hawr-eu aqyawf-euq aqma sheuq-awr, Irjirtuv-anr caevjawr-ir-euq mae. 
MAT.2.15	Heqlor shir ngae keuvni, khoergar jawr-euq mae. Garkawv heu-aq, Sanqpaq Miqyaer nae aqyawf-euq gharduq ngaeqdan-eu tsawrhaq-anr ghoe-awr aertaq-euq dawq heudawq byanlarni pyeuflar-euq mae,
