MAT.1.1	Abraham sapa David sapa Jesu Khrista ahungshuwna puhpee lerii 
MRK.4.2	Amaing ttongtiim ing enhimpaa aminchuwna abetthiimpe engkejege aminchuwleching ennhingna arhier.
MRK.4.3	“Rongeruw, sachii aavorpaching sachii evor sige, 
MRK.4.4	Engkhejege avorche, alhehing lhampuwna boge vatiheching aachuwmcherpe. 
MRK.4.5	Litaangching lhungkaarna boge, per enhim auwmmaataana enrang ing mhuwngse, perchuw aanthumatana, 
MRK.4.6	enie ahangshuwche, ineensaing adeengpe; arojung apimaataana, jungjuwrse. 
MRK.4.7	Lintaang sachiiching ilhingkaarna boge, engkhejege elhingching hanglhuwngge akhumpe, engkhejege aanra viemaase. 
MRK.4.8	Lintaang sachiiching ittha lolhiena boge aanra uwmse, hanglhuwngge engkhejege hinthige aanra suwmthum, engkhejege suwmruh, amana roza hanghin enrase.” 
MRK.4.9	Engkhejege amaing arhier, “Achuw engkhe aana iuwmching rongesing thieresie!”
MRK.4.10	Athienen ing aongle, akurna aeonghetho sepohhe summalhie ennhiiheching ttongttiim lina asiihe. 
MRK.4.11	Engkhejege amaing arhier, “ninnhingna enthu ttong” Thangnhang Eruwng paamlina kerhierpigechuw, changgechuw taangna aeonghenhingna ttongttiim kepigehe; 
MRK.4.12	“‘Emmenieing ibeervatehe changgechuw mhuwmaahenie, engkhejege rongerimvatehe, changgechuw minghuwmaahenie; hanghin vaanleheniege ikuhpivatehe ichiin mindeen vatehe.’” 
MRK.4.13	Engkhejege ennhingna arhier, “heve ttongttiimhie nimminghuwse? Chogenieche ajiekhang hevebekhe ttongttiim hie ninnuw ing minghuwvang nintega? 
MRK.4.14	Sachii aavorpaching zelhachuw avor. 
MRK.4.15	Hevehe Kaarna lhampuwna zelhachuw avorche, emmenieing thiehege Seitanching insungna avorchuw chaleraching thengge aliepipe. 
MRK.4.16	Engkhejege ittha ttongjiirchuw rotharhoing aalhaang lhungkaarna avorchuwga; 
MRK.4.17	Changgechuw arojun apichemaa taana apha tepie khaanghege; enhuwte heve ttongjiirlina immenang changmaanieche ijaachaam impha taanchana enrang ing khih minsiehege tiesehe. 
MRK.4.18	Engkhejege lintaang ilhingkaarna avorching ttongjiirchuw rongehege, 
MRK.4.19	changechuw lolhiepaam lerchiilina, lintaang lintaang aadie belungriir valhuwge ttongjiirchuw abeherpe, hanghin aanrachuw viechemaase. 
MRK.4.20	Engkhejege lolhie ettaahna avorching, emmeniening ttongjiirchuw thiehege aalhaanghe, saruh suwmthum, suwmruh engkhejege roza engkhephana enrasehe.”
MRK.4.21	Amaing innhingna arhier, thoumhichuw asiitaana sehluwng beluhderna changmaanieche ejaartaa derna asiimaaga, engkhejege thoumhi asiitalina asiimaakhang? 
MRK.4.22	Ajiegachiinche imphuwngmaavang ichii ouwngruw ing isii uwmmaa, engkhejege emphuwngmaavang ate ajiedong eummaa, elengte endangvate. 
MRK.4.23	“Achuw engkhe aana euwnching thiesaresie!” 
MRK.4.24	Engkhejege ennhingna arhier, “ninnuw ing ninthielina belung peruw, ninnuw ing nimvur chaanglina ninnuwje evurvate, engkhejege ama ithisheh phavangninte. 
MRK.4.25	Ajiegachiinche aadeenpaching phasevate; engkhejege adeenmaa minhingtenachuw adeenbekhe liechervate.”
MRK.4.26	Amajing arhier, “Thangnhang Eruwngpaamchuw achuw engkheing lolhiena amhuwchuw vorge, 
MRK.4.27	engkhejege yaarge yen siim neluing ehanglhuwng amana amhuwchuw kiege, hangmhuwngge, amachuw amaing ajiekhang imhuwngga minghuwmaa. 
MRK.4.28	Lolhienaching hangpege, mensaing abaa siinge, chona adeen, amana aanrachuw hungviese. 
MRK.4.29	Changgechuw aanrachuw mhinge chona thaangki abetthumpe, ajiegachiinche, saangkuumphachuw avietaanaga.”
MRK.4.30	Amaing avonhie arhier, “ajieching Thangnhang Eruwng lepaachuw mindeengteruw. Changmaanieche ajie ttongttiimchuw ikanavate? 
MRK.4.31	Amahie inttamamhuw engkhe lolhiena vorge, amhuwhekaarna isiingseh amhuwgejenie. 
MRK.4.32	Vorge chovechuw hanglhuwngse engkhejege thingsiinghe kaarna elhuwngseh hungeenshuwhse, engkhejege abaahechuw enjaamse, engkhejege minventena vatiheching adeliimna enruwvuw ahuwpe.”
MRK.4.33	Hangchiehie emmemie ing arongechenaching ttongttiim enhimpaa ennhingna ttong arhierpihe; 
MRK.4.34	Amaing ttongttiimmaaniege innhingna ttongmaa, changgechuw sepohhe enthenenpangna amindangpiga.
MRK.4.35	Ama inie kholhiena amaing innhingna arhier, “Enieng raarkhete elenteruw.” 
MRK.4.36	Engkhejege mi ruhpuwchuw mahege sepohheching Jesu ongna ruwkuwngsungte karhege engkhejege aeongje Jesuchuw arhiepehe amana lintaang ruwkuwngje emvehe. 
MRK.4.37	Eperpaa khuwthie rhaangse, ruwkuwngje mimverge chiiching siikangrong atepe. 
MRK.4.38	Changgechuw Jesuche ruwkuwngsungna ideje ing aejaar engkhejege emmenieng amachuw bethiehege enrhier, “Thiimpuw, therong etehie tho nasamaaga?”
MRK.4.39	Amaing hangthiege thiechuw arukuhpe, engkhejege rimchii chuw arokuhpe, “Mindere, dereng!” Chona thierhaangchuw aminchinpe, engkhejege ethietho enghaajeh dese. 
MRK.4.40	Amaing ennhingna arhier, “Ajietuna enttiigechuw? Ate ephaing ninthacha aeuwmmaaga?”
MRK.4.41	Engkhejege emmenieng ethiseh aettehege, engkhele engkhe enrhierhe, “chogeniebe thiele rimchii ing attong aminjiehie achuwga?”
MRK.5.1	Emmenieing rimchii paangkhete Gerasene raarkhete huwngsehe. 
MRK.5.2	Engkhejege amaing ruwkuwngtena ajungttumche then kaartena pesar engkhe ebuwr chipi ing atoungchuw eentuhseh. 
MRK.5.3	Amaing then Kaarna paarge atebe achuwdong ing thiirrhuwjeng phierchemaahe. 
MRK.5.4	Ajiegachinche aphabekhena thiirrhuw ing akih akhichuw aphiergehe changgechuw amabekhe ipehcherge achuwdong ing bethechemaahe. 
MRK.5.5	Aphabekhena yennaje thenkaarna engkhejege bounglina uwngge athienening lhung ing emvar. 
MRK.5.6	Jesuchuw raarkhena avimhuwtaana vatenge aruwmsaape; 
MRK.5.7	Engkhejege achebekhe uwngge arhier, “Ajii tugete entegechii, Jesu, Engkaangseh Thangnhang Sapa? Thangnhangchuw sursa ingge ajiedong imin ja saamaare.” 
MRK.5.8	Chonaching Jesu ing anhingna arhier, “Ebuwr chipi nang, anhingtena jungshuw!” 
MRK.5.9	Chona Jesu ing anhingna asii, “Naromhing ajiega?” Amaing abesang, “Keromhingchuwbe Legionga; ajiegachiinche kinnuw enhimpaagung.” 
MRK.5.10	Amaing paam lintaangte ichiirsamaare tege anhiesaape. 
MRK.5.11	Ate ama boungpaangna voh aarupuw engkhe mhaarhege euwm. 
MRK.5.12	Engkhejege ebuwr chipiheching anhingna anhiisahe, “vohkaarnahing ichiir ing valhuwsaginte.” 
MRK.5.13	Changching amaing arhupipe. Engkhejege ebour chipiheching jungsuwhege vohkaarte valhuwsehe; ama rupuwchuw chiing ennhiebekhegehe, aangkheng ouwngkhona jungtenhege rimchiisungte bowsehe.
MRK.5.14	Voh aaserhechin tenhege apaam khupuwhekhena atongpehe. Chonaching mibekheing ajie ishuwga ichii aabiirnaing thengsehe. 
MRK.5.15	Emmenie ing Jesu nhingna avaaheche ibuwr chipi ing atoung miching mitatahkhangkhing pien serge aeong, mi enhimpaa romhing arin legionchuw mhuwhege attiepehe. 
MRK.5.16	Ebuwr chipi ing atoungpa chuw engkhejege voh ruhpuw aamhuwheching ishuwbekhechuw atongpehe. 
MRK.5.17	Chonaching emmenieing Jesunhingna ama arovechuw ebethinpisare tehege anhiihe. 
MRK.5.18	Hanghing amaing ruwkuwngsungte ahangkarle ebuwr chipi atouung miching amatho enrhii sagete tege arhier. 
MRK.5.19	Changgechuw Jesu ing rhumaage anhingna arhier, “Engke, naalhanghenhingnte, engkhejege Thangpa ing ijehmeh elhuwng nong eentupi, engkhejege ajie lungsii immindangbekhechuw.” 
MRK.5.20	Engkhejege ama ing Jesu ing ejemeh atupibekhechuw Decapolisna aminjaam che mibekhe ouwngluw liimsehe.
MRK.5.21	Jesu ing avonhie ruwkuwng ing paangkhete aalenle mi aruhpuwching akurna ouwngkonghe, engkhejege amaing rimchiikurna aeong. 
MRK.5.22	Chale khuwngsang auwpa engkhe, aromhing Tairus ate khuwngsangtenaching etheng engkhejege, amhuwche Thangpa nhingna aluw beluge, 
MRK.5.23	engkhejege minchinluing anhiisahpe, “Kesanuw nepangchuw therong atena, ethengpi ing naki ing iperpiteniebe damniege rhiingvate.” 
MRK.5.24	Changching amatho wasehe, engkhejege mi ruhpuwheching aanhuw jiihege aalhuwmpehe. 
MRK.5.25	Chaleching nepenuw engkhe kum suwmmalhii ennhiimeh thie iche ing ejachaam aphachuw aeheong. 
MRK.5.26	Amaing ithiemhenhingna adeenbekhe minlhuhge amimbiir Jeching tthachemaase, changgechuw minhisesehse. 
MRK.5.27	Amaing Jesu khu thiege, engkhejege atuhnhuwngte mi ruhpuw kaarna wage apienbetha aperpe. 
MRK.5.28	Amaing arhier, “Kieing apienbethapaangchuw perningbe damvanggete.” 
MRK.5.29	Chaleraaching athie ichechuw aminchinpe, engkhejege ataajeng inachuw damsing atechuw aminghuwpe. 
MRK.5.30	Chaleraaching anhingna atuche paangkarchuw jungshuwse ate amaing minghuwge, miruwpuw nhingte vaanlege ahinrhier, “Achuwingche kepien aperga?” 
MRK.5.31	Engkhejege sepohheching anhingna arhier, “Mi khangjeing elhuwmhege namhuwchin; ajiikhangkhing amahie rhierchechiige, ‘Achuw ing imperga natega?’ ” 
MRK.5.32	Amaing achuw ing atuga tege arovehechuw aabiirpe. 
MRK.5.33	Changgechuw nepenuwching ataalina ishuwchuw minghuwge enttiipaaing enchiimsage thengge amhekungna aluw abelupe, engkhejege ishuwbekheje ahimphuwngpe. 
MRK.5.34	Amaing anhingna arhier, “Kesanuw, nathachaching kemintthaapechii; belung ingam ing engke, engkhejege nanaana bekheje damresie.”
MRK.5.35	Amaing hanghing attongle upa eentena mi ethengchin wahege enrhier, “Nasanuwkha thise. Ajietunaching Thiimpuwchuw aminjaga?” 
MRK.5.36	Changechuw ama ttongchuw rongeluing, Jesu ing khuwngsang upanhingna arhier, “Ittemaare, thachajethaa.” 
MRK.5.37	Amaing Piter, Jakob engkhejege Jakob anepa Johon maaniege aanhuw ejie rhumaase. 
MRK.5.38	Khuwngsang upa eenna emvalhuwle entochochor, mi aettaa, engkhejege, belung ijaapaahechuw amhuw. 
MRK.5.39	Amaing avalhuwle, amaing ennhingna arhier, “Ajietuna entochorchorchuwge ittaagechuw? Nepanghie ithiemaaga aejaarga.” 
MRK.5.40	Engkhejege miheching ameniehe. Chona mihechuw taangte beshuwge, engkhejege amapale amanuw, amana aarhiiphuwhetho nepang ongtaate valhuwsehe. 
MRK.5.41	Amaing abenna bechuwge nepenuwti nhingna arhier, “Talitha cum,” amachuw “lunghaati hangthie” atenaga. 
MRK.5.42	Chaleraaching lunghaachuw hangthiege hungsi vasishe ama kum suwmmalhie ennhiega. Amalinahing emmeniebekhe enhimpaa ouwngluw liimsehe. 
MRK.5.43	Amaing hevehie achuwdong aminghuwnamaaing eperpa ttong apipehe engkhejege aesaaphuw peruw tege ennhingna arhier.
MRK.6.1	Amaing amhinchuw bethinge aeen khuwpuwte engkege asepohheching aanhuw ajiehe. 
MRK.6.2	Eongna eniena khuwngsangna valhuwge aminchuwhe, engkhejege amaing arhier aathiebekheching owngluw rhiige arhierhe, “Hevebekhehie heve mihing ajiekhang aphachega? Hangchie eviernahie anhingna apihie? Amaing hangchie etuchemaa nong aki ing atuchehie ajiekhangkhinga? 
MRK.6.3	Amahie thing thapaa, nong atu, Mary sapa, engkhejege Jokoble Joses auwpa engkhejege Judas amana Simon, engkhejege asarhechuw aeonghaamaagemie khang?” Engkhejege hanghin emmenieng anhingna rhumaasehe. 
MRK.6.4	Chona Jesu ing ennhingna arhier, “Laarchangpahechuw amhin lintaangte maaniege arammiheching engkhejege, auwnehejeng, engkhejege aeengkuwheching ijasamaahe, rukuwm tumaahe. 
MRK.6.5	Engkhejege mi ina iki tepiihe lina akibaangge amintthaa chuwmaaniege atuche nong ajiedong tuchemaa. 
MRK.6.6	Engkhejege emmenieing enthachamaataana aluw rhiise. Chona amaing khuwbekhete sige aminchuwhe.
MRK.6.7	Amaing suwmmalhie ennhiehechuw eenge, mi ennhie ennhie mintthehege achiir, engkhejege ebour chipihechuw athorchena apipehe. 
MRK.6.8	Emmenieing romhor engkhepang maaniege, aesaaphuw tal, thuwng, sheer thaarna khapaa, engkhedong ramkhiena rinmaaruw, 
MRK.6.9	Changgechuw khikhuwn nienung longoh ennhie mingkhiimaaruw tege ttong apipehe. 
MRK.6.10	Amaing ennhingna arhier, “Akhukhuna een nimvalhuwle nengingkemaataang amana cheengruw. 
MRK.6.11	Achuw engkhe amhin engkhena rukuwm itumaaniebe, engkhejege ninttong rongening temaaniebe, nimbethinphana ennhingna saarkhii aanshuwnaing ningkhibejana sirbaarkha betthiirruw.” 
MRK.6.12	Chonaching emmenieing vasihege mibekheing embelung amintenaing ttongjiir aminjaampehe. 
MRK.6.13	Emmenieng ronham atoung enhimpaa thorhege, engkhejege aenabekhe chuw thou itehhege amintthaapehe.
MRK.6.14	Herod Eruwng ing amachuw athie, ajiegachiinche Jesu romhingchuw aminghuwchertanagehe. Lintaangheching arhier, “Johon Baptist chuw ithietena hangrhingse; engkhejege hevelinahing hangchie etuchehnahie anhingna aeuwmga.” 
MRK.6.15	Changgechuw lintaangheching enrhier, “Amahie Elijahga.” Engkhejege lintaang ing enrhier, “Amahie ajenna laarchangpahe khangchie laarchang engkhega.” 
MRK.6.16	Changgechuw Herod ing athieche, amaing arhier, “Alose ketinbesa Johonkha ehangrhingga.”
MRK.6.17	Ajiegachiinche Herod ching anepa Philip lumhichuw apaarphuwtaana, ama khunaching mi vibethinge, Johon chuw suwrge, engkhejege phierge mikhumsungte athaarga. 
MRK.6.18	Ajiegachiinche Johon ing Herod nhingna arhier, “nang ing nanepa lumhi nabiehie waajiir ing arhumaaga.” 
MRK.6.19	Engkhejege Herodiaching amachuw aeenthiemaaga, engkhejege thehjening atega. Changgechuw amaing tuchemaa, 
MRK.6.20	Herod ing Johonchuw dhormo icherpaga engkhejege inthiing pesarga tege engkhjege akarga. Amaing amakhuchuw athieche enhimpaa abelung jase, changgechuw amaing arhierchuw rongening atega. 
MRK.6.21	Changgechuw, Herod ing aatuche upahe, raarmi elhuwnghe engkhejege Galilitena upahenhingna auwmna aemhaarna inie ahimpha taanchachuw aphape. 
MRK.6.22	Herodia asanuwching valhuwge valaamse, Herodle ethengbekheching enhimpaa embelung ningchimse engkhejege eruwngching lunghaa nhingnachin arhier, “Enhesare nang ing naadiebekhechuw, engkhejege pevanggechie.” 
MRK.6.23	Attongchuw anhingna adeenpe, “Ajiejiegejenie ennhichiechuw pevanggechie, kelepaa alhebekheje.” 
MRK.6.24	Amaing amanuw nhingna huwngge arhier, “Ajie nhevang ketega?” Amaing abesang, “Chiiluhpa Johon lose chuw nhe.”
MRK.6.25	Nepenuwtiching hungeenliverge eruwngnhingna anhiipe, “Kieing atelerah nanhingtena Johon losechuw kamsengsungna epesare.” 
MRK.6.26	Eruwngchuw enhimpaa abelung jase chogejenie alepaa elhuwnghe kaarna ttong adeenbesageke, anhingna dachemaase. 
MRK.6.27	Chaleraaching aarhunghe kaarna raarmi engkhe vicheerge Johon losechuw ahinchinaing arhierpe, Amaing vage Johon losechuw mikhumsungna avatinpe, 
MRK.6.28	Alosechuw kamsengsungna hinchige lunghaanhingna apipe. Chona lunghaaching amanuwchuw apipe. 
MRK.6.29	Ama khuchuw asepohheching athieheche, vahege ahumchuw vaadumhege thensungna arhiepehe.
MRK.6.30	Ttongjiirpaheching Jesu akurna engkonghege, engkhejege atubekhe amana imminchuw bekhehechuw atonghe. 
MRK.6.31	Amaing ennhingna arhier, “huwngruw, ninthenen ing aedejeh amhinna amongna ninja minderuw.” Ajiegachiinche mi enhimpaa eongheching hungsi vasihege, engkhejege isahphuw aphanaje uwmmaase. 
MRK.6.32	Chona emmenieng ruwkuwnglina aedepaa amhinte engkesehe. 
MRK.6.33	Ate miheching engkehechuw aminghuwpehe, engkhejege emmenieing khuwpuw bekhetena ingkhi ing vasihege emmana vatungsehe. 
MRK.6.34	Hanghing siphiena ahungsile amaing mi ruwpuwhechuw mhuwge; engkhejege emmeniechuw aasher aeuwmmaa Zouhekhangkhing amhuwtaana amaing aning aminsiihpehe; engkhejege amaing alham enhimpaa aminchuwhe. 
MRK.6.35	Hanghing atherlamthitaana, asepohheching vahege anhingna enhier, “Hevehie idepaa amhinga, engkhejege aphaje therse. 
MRK.6.36	Bethinhere amaching emmenieing paam arovena engkhejege khuwbekhena entaasaa aesaaphuw iliesaheresie.” 
MRK.6.37	Changgechuw amaing abesang, “Ninnuw ing aesaaphuw pesaruw.” Emmenieing anhingna arhier, “Kinnuwng vanungge dinari roza engkheing vaalienungge pevang kintega?” 
MRK.6.38	Engkhejege amaing ennhingna arhier, “Tal ejeh nindeense? vanung ebeerruw.” Emmenie ing vatuhhege enhier, “Ronga, amana Nga ennhie.”
MRK.6.39	Chona Jesu ing mi bekhechuw aruh aruh ing eaer phuwrlina mengongruw atepe, 
MRK.6.40	hanghing mibekhechuw roza rozaing engkhejege sumnga suwmngaing aruh aruh ing ongsehe. 
MRK.6.41	Tal rongale nga ennhiichuw viliege, minvente hingeebeerge engkhejege bor pege talhechuw abekhiipe, engkhejege sepohhe ching emmana shehege; engkhejege nga ennhiichuw mibekhena asimpe. 
MRK.6.42	Emmenieng sahege imvin vase; 
MRK.6.43	engkhejege atheh akier ngajechuw emveng beluwh summalhie ennhie siikang aachumpehe. 
MRK.6.44	Tal aesana emvehechuw pesarpang chiing rongagehe.
MRK.6.45	Aanhuwdehna mihechuw abethinleching asepohhechuw ruwkuwng taalina raarkhete mensaing Bethsaidate aminsipe. 
MRK.6.46	Engngeentthena ttong arhiernhuwte, Jesu ing bounglite ahinnhiena hangkarse.
MRK.6.47	Kholhie ahimphache ruwkuwngchuw chiilina uwmjehge ataache athienen taangna aeong. 
MRK.6.48	Thieching maangsohte avarhaang taanaching ruwkuwng aahurheching ejapahechuw amhuwche, yiingphihin ennhingte chiilina vasige, emmeniechuw khirgetehe ate. 
MRK.6.49	Changgechuw emmenieing chiitaalina evasichuw emmhuwche irega tehege uwngsehe; 
MRK.6.50	ajiegachiinche emmenie bekheching mhuwhege piingsehe. Changgechuw chaleraaching amaing ennhingna ttongge arhier, “nimbelung mengamruw, kieging; ittemaaruw,” 
MRK.6.51	Chona emmenietho ruwkuwngte karhege thie aerhaangje dese. Engkhejege amana inhimpaa luw liimsehe, 
MRK.6.52	ajiegachiinche emmenieng tallina ishuwchuw minghuwchemaahe, changgechuw embelungriir anheh taanachingga.
MRK.6.53	Chona emmenieing elenhege, Genesaret paamte huwnghege taangte ruwkuwngchuw ameniirpehe. 
MRK.6.54	Emmenieing ruwkuwngtena enttumle, miheching amaga ichie minghuwhege, 
MRK.6.55	Arovebekhetena vatenhege, ama aongna enthie tahna amhin amhinnaching aenahechuw enyaarna idumhege vathengsehe. 
MRK.6.56	Engkhejege amaing avalhuwna khuwna changmanieche khuwpuwbekhena, lheletena, emmenieing keethiir kaarnaje aenahechuw mintorhege, apienmhur apernaing anhiipehe; engkhejege aaperbekheching tthaasehe.
MRK.7.1	Ate Jerusalem tena etheng Pharisihe engkhejege thiimdeeheching Jesu nhingna ouwngkongsehe, 
MRK.7.2	Emmenieng sepohheching ingkih etthiiluing theh asaahechuw amhuwpehe. 
MRK.7.3	Ajiegachiinche Pharisihe engkhejege Jehudihe tiena upahe intu enlhiingna chuw jiehege, ingkih itthiemaaheniebe theh samaahe; 
MRK.7.4	engkhejege kithiirtena hungkeheniebe kih intthieluwng theh asaamaagehe; engkhejege emmenieing aminjie lintaang enhimpaaje uwmne, amachuwbe, kamseng, biir, engkhejege thiir, pithrai bekam jekhi aatthie. 
MRK.7.5	Hanghing Pharisihele thiimdeehching anhingna asiehe, “Ajietuna nasepohheching Tiena upahe atuhie minjiimaahege, changgechuw ebuwr kihching theh asaagehe?” 
MRK.7.6	Amaing ennhingna arhier, “Isaiah ing itthachaang etu ninnuw khuna atataa arhierbesaga, hanghing abejiise,
MRK.7.6	‘Miheching ennherpang ing immimpaanaahe,
MRK.7.6	Changgechew embelungriir ching kenhingtena endaapaanehe;
MRK.7.7	Engkhejege emmenieng tienana arhier ttong thoh chuw dhormo ttong khangkhing minchuwhege,
MRK.7.7	kiechuw ajiedongma khangkhing enrumnaahe.’
MRK.7.8	“Ninnuw ing Thangnhang ttongthohchuw minchinchuwge, tienana upaheching aminjiechuw inhehpaa nimbechuw.”
MRK.7.9	Engkhejege Jesu ing ennhingna arhier, “nintaaing kintuthiega ichii tahlina aminjiena Thangnhang ing arhierchuw itthajeing rhumaasechuw. 
MRK.7.10	Ajiegachiinche Mosi ing arhier, ‘nangnuw nangpaing arhier minjie, achuw engkheing amapa amanuwlina ichamaa rhierniebe theresie.’ 
MRK.7.11	Changgechuw ninnuw ing rhierchuwge, Achuw engkheing amapa changmaanieche amanuw nhingna, kenhingtena aekana phavang nintechuw ‘Korbanga’ (Thangnhangtenaga) tetenuwche, 
MRK.7.12	ninnuw ing nangpa changmaanieche nangnuw rutum tupivang atechuw arhupimaaga. 
MRK.7.13	Engkhejege ninnuw ing nintu anongching mi lintaangheje nimbelung minlhuwchuwge Thangnhang ttongchuw ningeethinape, hanghing echieng nintu anong lintaang enhimpaaje nintuga.”
MRK.7.14	Ama enhuwna Jesu ing mi ruwpuwhechuw abuwmte eenge avonhie ennhingna arhier, “rongeruw engkhejege minghuwruw. 
MRK.7.15	Taangtena besungte ivalhuwching amachuw memaang chevang ate uwmmaa; changechuw mi amemaangchuwbe anhingtena ihungshuwching atuga.” 
MRK.7.16	Aana aeuwmching rongeresie.
MRK.7.17	Jesu ing mi ruhpuwchuw mage een engkhete avalhuwche asepohheching ttongttimchuw imindangpire atehe. 
MRK.7.18	“Jesu ing ennhingna arhier,” ninnuwjeng amachuw nimminghuwchemaaga? “Taangtena sungte ivalhuwching michuw mimbuwrmaa; 
MRK.7.19	ajiegachiinche amachuw valhuwge, abelungte valhuwluing apibuwrtega, engkhejege amahechuw aturshuhte isiga?” Hanghin ichiin aesaaphuwbekheje enthiingga.
MRK.7.20	Engkhejege amaing arhier, “mi sungtena ehungshuwching atahchuw amemaangga. 
MRK.7.21	Ajiegachiinche asungtenachuw, mi belungriirtena ching echaamaa vaakar, nepenuw lina ka avalaar, ouwngruw, mitheh, 
MRK.7.22	naamaa itu, Kaaraam, itthamaa, namthak atuhe, nepenuw pesarlina ichuwmaa, amhibeer itthamaa, echaamaa ttongpang ittong, elhuwngttittu, enhuwr, 
MRK.7.23	Hevebekhe ichamaahie sungtena ehuwngshuwga, engkhejege michuw aminbuwrga.”
MRK.7.24	Ama amhinchuw bethinge Tye paamte vasise. Amaing een engkhete achuwdong ing amhuwnamaaing valhuwse. Changgechuw inthur chemaase. 
MRK.7.25	Chaleching nepenuw engkhe, asanuchuw ibuwr chipi ing atoungchuw thengge akhibuwmna vatiehse. 
MRK.7.26	nepenuwchuw Syrophoeni tena Greek miga. Engkhejege amaing asanuwnhingtena ebuwr chipichuw ethorpire tege arhier, 
MRK.7.27	Amaing anhingna arhier, “mensaing nepangheching imvin valahresie, nepanghe saaphuwchuw utihenhingna evalhien rhumaanie.”
MRK.7.28	Changechuw nepenuwching abesang, “Aanchungpa” “utihejeching nepanghe asaana alheh-akiir asaaga.”
MRK.7.29	Chonaching nepenuwnhingna arhier, “Heve narhiertahnahing engke, ebuwr chipiching nasanuw chuw abethinpe.”
MRK.7.30	Amana nepenuwchuw aeente engkese, ebuwr chipiching asanuwchuw bethingge, atah ihejaarchuw aphape.
MRK.7.31	Chona amaing Tyre paamtena hungeenlige Sidon attimpangtena Galili rimchii ouwngtongte Decapoliram aliehna huwngse. 
MRK.7.32	Emmenieing anhingte aana isih, engkhejege abelie ouwngtong virhiihege amaing aki ebaangpiresie tehege anhiisaahe. 
MRK.7.33	Amaing mikaartena ouwngruw ing rhiege aana aannhiichuw akimhuwr ing perge engkhejege becherge abeliechuw apar.
MRK.7.34	Chona minvente hingeebeerge, aaphuwh kige anhingna arhier, “Ephphatha,” atenachuwbe “aemhongre.” 
MRK.7.35	Chaleraaching aanahechuw emmhongse, abelie asuwrjechuw enjohse, engkhejege aetthajehing ttongse. 
MRK.7.36	Chona Jesu ing achuwnhingnadong atongnamaaing ttong apipe; changgechuw emmenieng changjehmeh ttongmaaruw atele enhiimseseh aminjaam pehe. 
MRK.7.37	Emmenieing enhimpaa ouwngluw liimge, enrhier, “Amaing aangkheng ithapaing atupe; amaing aana isihje aminthiechepe amana abelie asuwrje aminttongpe.”
MRK.8.1	Chove eniebekhesungna avonhie mi ruhpuwhechuw ensaaphuw uwmmaage, asepohhechuw eenge ennhingna arhier, 
MRK.8.2	“Heve mi ruhpuwhehie kening keminsiinaahe, ajiegachienche emmenie thoh inie nethum onghaamiege ensaaphuw uwmmaase, engkhejege ennhingna arhier, 
MRK.8.3	Kieing emmeniehie eente bethinningbe lhamlena tievatehe-engkhejege lintaanghehie endaapaatenaje ethenggehe.”
MRK.8.4	Asepohhechin abesang, “Ajiekhang heve rampakaarna achuw ing mibekhehie imvin mimvachevang atega?”
MRK.8.5	Amaing asiehe, “Tal ijeh nindeense?” Emmenieing arhier, “Aseh sarii.”
MRK.8.6	Chona amaing mi ruhpuwchuw lolhielina mengongruw tege arhier, engkhejege tal sariichuw viliege, ahinnhienhuwte amahechuw bekhiege asepohhenhingna vipege, emmenieing ruhpuwhenhingna asimpehe. 
MRK.8.7	Nga tepieje emmenieing ashie; engkhejege bor ahinnhienhuwte amaing amajechuw simruw tege arhier. 
MRK.8.8	Emmenieing sahege emvin vase; engkhejege akiirbekhechuw amingkongheche beluh sarii siikangse. 
MRK.8.9	Amana ouwngkonghechuw mi chiing minliegehe hanghing emmeniechuw abethinpehe. 
MRK.8.10	Engkhejege, chaleraachin Jesu ing asepoh hethoh ruwkuwnglite Karhege Dalmanutha ramte hungkarsehe.
MRK.8.11	Pharisiheching thenghege engkhejege ttong ensanghege, chaang embeernaing mimventena bietimnalina asiehe. 
MRK.8.12	Amaing abelungrier chipina aaphuw kige arhier, “Ajietuna heve misiinheching bietimnachuw ajonggehe? Atataa kieing ninnhingna kerhierga, ajie bietimnadong heve misiinhe nhingna pemaaning.”
MRK.8.13	Amaing emmeniechuw abethinpe, engkhejege ruwkuwngte hangkarrige, araarte elenge engkese.
MRK.8.14	Sepohheching tal irin beherhege; engkhejege ennhingna tal engkhepangchuw rinhege rukuwngte karsehe. 
MRK.8.15	Engkhejege enriimna ttong ennhingna arhier, “abeerruw Pharisihele Herod chorlina enriimsaruw.”
MRK.8.16	Emmenieing engkhele engkhe enrhiirhe, “hevehie tal ideenmaataanaga.”
MRK.8.17	Amachuw aminghuwtaanaching Jesu ing ennhingna arhier, “Ajietuna ninnuw ing tal auwmaataana aettonggechuw? Ninnuw ing atelephaing nimmhuwmaaga changmaanieche nimminghuwmaaga? Nimbelungriir inhehpaaga? 
MRK.8.18	Nimmhiche uwmge nimmhuw ninchemaaga? Ningeenache uwmge ninthiemaaga? Engkhejege ningeenthiemaaga? 
MRK.8.19	Kieing tal rongaching mi chiing ronga rotum kebekhiele alheh akeer beluh ijeh nimmingkong?”
MRK.8.20	Engkhejege emmenieng abesang, “Suwmmalhie ennhiega.”
