MAT.1.1	Abraham sapa David sapa Jesu Khrista ahungshuwna puhpee lerii 
MAT.2.14	Ingkhejege ama ing jenna hangthiige neduwngle amanuw chuw rhiege Egypt te tense, 
MAT.2.15	ingkhejege Herod chuw athee maataang amana ongse. Heve hii hanghin ichiin Thangnhang ing Laarchang Pa aminrhier besachuw atungnaga, “kii ing kesapa chuw Egypt tena ke eenpe.”
MAT.2.16	Mahe ehe miheching amachuw ami muwpe ichii aminghuwtaana Herod ather ephuwr ing ashung besase, ingkhejege mahe ehe mihe nhingtena aminghuw apha enhuw ejiin ama ing mi chierge Bethlehem shungna ingkhejege khoveem na oong kumnhie ingkhejege adertena pesarti aangkheng hechuw athe cherpe.
MAT.2.17	Chang ichiin Laarchang Pa Jeremia ing hanghin aherhier chuw tungse:
MAT.2.18	“Ramah paamna chin tacham liige ennhuh nge nge ing ettaa iruwr endang,
MAT.2.18	Rachel ing asitihe rotoumna ttaane,
MAT.2.18	amachuw enthe rhumaase,
MAT.2.18	ajiena ate inche asitihe chuw uwmmaasehe.”
MAT.2.19	Changechuw Herod athee nhute, ibeerruw, Egypt na Joseph romhangna Thangnhang michier ingkhe endange arhier. 
MAT.2.20	“Hangthie, nedoungle amanuwkha rhieing engkeing Israel paamte si, ajiena ate inche nedoung rhingrie memaang kete tege ajong mihekha theesehe.” 
MAT.2.21	Ingkhejege ama ing hangthiige nedoungle amanuw chuw rhiege Israel paamte hungeenlise.
MAT.2.22	Changechuw Arkelous ing amapa Herod changthaana Judia na Eruwng viene ichii athietaana Joseph amate inliwang ate etteese, ingkhejege aromhangna Thangnhnang ing arhier inhuw ijiing ama Galile te pierse. 
MAT.2.23	Ingkhejege ama ing sige Nazareth ate khupuw ingkhe nachin paarse, amachuwbe Thiimdee hing hanghing aherhier chuw atungnaga. “Amchuw Nazareth miga tewate.”
MAT.3.1	Chove apha nachin chii aalupa Johon hungsuwge Judia paamna ttongjiirchuw ajeer. 
MAT.3.2	“Nimbelungrier minteruw, ajiena chiinche Thangven Eruwng lepaa chuw ennheengse.” 
MAT.3.3	Ajiina ate inche heve mi hie akhu hanghin ichiig Isaiah Laarchangpa ing aherhier khaga, Ramkang na euwng achuw ingkhe eruwr: Thangpa lham chuw rothangruw, alham chuw mintuwmruw.
MAT.3.4	Ate Johon ing Shariingsie mhuwr ing asem piendiir viege, shawin ingkhe ing adier rhiin na achiim, engkhejege ama ing ashaa the chuwbe Kheteh le rampa khienhiing ga. 
MAT.3.5	Chona Jerusalem, Judia aangkheng, engkhejege Jordon arove na eoum paam bekhe tena miheching anhingte etheng. 
MAT.3.6	Engkhejege enta esiikha phuwnghege emmenie chuw ama ing Jordon ewana alupee he.
