GEN.3.4	Kua tuatua maira taua ovi ra ki te vaine, Kare rava korua e mate: 
GEN.3.5	Kua kite oki te Atua e, i te rā e kai ei korua i to reira, 
GEN.3.6	E kite akera te vaine e rakau meitaki ei kai, e te taurekareka no te mata, e te rakau anoano oki kia rauka te kite; kua rave iora aia i te kai no rungao ra, 
GEN.3.8	Akarongo akera raua i te reo o te Atua ra o Iehova, iaia i aaere i roto i te kainga i te maru aiai ra: e kua 
GEN.3.9	Kua kapiki maira te Atua ra ko Iehova kia Adamu, na ko maira kiaia, Teiea koe? 
GEN.3.10	Kua karanga atura aia, Akarongo akera au i to reo i roto i te kainga nei, 
GEN.3.11	Kua tuatua maira aia, Naai koe i akakite e, te vai taaka ua ra koe? Kua kai ainei koe i to te rakau, taku i karanga atu kia koe e, auraka e kai? 
GEN.3.12	Kua karanga atura te tangata, 
GEN.3.13	Kua tuatua maira te Atua ra ko Iehova ki te vaine ra, Eaa koe i akaperaʼi? Kua karanga atura te vaine ra, 
GEN.3.14	Kua tuatua maira te Atua ra ko Iehova ki taua ovi ra, Kia maata roa toou taumaa i to te au puaka katoa, e te au manu taae katoa o te enua nei, ko koe i akapera ra; ei raro to kopu totoro uaʼi koe, ka kai oki koe i te 
GEN.3.15	Ka tuku oki au i te ke ia korua ko te vaine, e 
GEN.3.16	Kua tuatua maira aia ki te vaine, E akamaata au i toou mamae tamariki ra; 
GEN.3.17	Kua tuatua maira aia kia Adamu, 
GEN.3.18	E ka tupuia ïa e te 
GEN.3.19	E kai koe i 
GEN.3.20	Kua tapa iorā Adamu i to tana vaine ra ingoa, ko 
GEN.3.21	E kua anga iora te Atua ra ko Iehova, i te kakau kiri, no Adamu ma tana vaine, e kua akakakau maira ia raua.
GEN.3.22	E kua tuatua iora te Atua ra ko Iehova, 
GEN.3.23	Kua tuaru atura te Atua ra ko Iehova iaia ki vao i taua kainga i Edene ra, 
GEN.3.24	Kua tuaru atura aia i te tangata ki vao; kua tuku iora aia i te au 
GEN.4.2	E anau akaou iora aia i te teina ko 
GEN.4.3	E tae akera ki tetai tuatau, kua apai aturā Kaina 
GEN.4.4	E kua apai katoa aturā Abela i to roto i te 
GEN.4.5	Karekā Kaina e tana atinga, kare ïa aia i kite mai. Riri rava akerā Kaina, 
GEN.4.6	E kua tuatua mairā Iehova kia Kaina, Eaa koe i riri ei? e eaa oki i akatumatumaʼi toou mata na? 
GEN.4.7	Kia rave koe i te meitaki ra, kare ainei koe e kiteia mai? e kare i meitaki ra, 
GEN.4.8	Kua tuatua mairā Kaina ki tona teina kia Abela: e tae atura raua ki roto i te kainga ra, tei runga mairā Kaina i tona teina ia Abela, e kua 
GEN.4.9	Kua tuatua mairā Iehova kia Kaina, 
GEN.4.10	Kua tuatua maira aia, I aa na koe? 
GEN.4.11	E tenana, kua taumaaia koe e te enua nei, kua amama io nei i tona vaa e āriki i te toto o toou teina i to rima na. 
GEN.4.12	Kia tanu koe i te one na, kare atura 
GEN.4.13	Kua karanga aturā Kaina kia Iehova, E maata taku utunga, 
GEN.4.14	I na, kua tuaru mai nei koe iaku i teianei rā, mei runga mai i te enua nei; e mei mua atu i 
GEN.4.15	Kua tuatua mairā Iehova kiaia, Ko te ta ia Kaina ra, 
GEN.4.16	Aere ke aturā Kaina mei mua mai i te aroaro o Iehova ra, e noo atura i te enua ra ko
GEN.4.17	Kite iorā Kaina i tana vaine; to iora aia, e anau atura ko Enoka: te akatu ra aia i te oire i reira, tapa iora aia i te 
GEN.4.18	E anau akera ta Enoka ko Irada; e anau akera ta Irada ko Mehuiaela; e anau akera ta Mehuiaela ko Metusaela; e anau akera ta Metusaela ko Lameka.
GEN.4.19	E kua rave iorā Lameka i e toko rua vaine; ko Ada te ingoa o tetai, e ko Zila te ingoa o tetai. 
GEN.4.20	E anau maira ta Ada ko Iabala: ko te momua ïa o te aronga i noo i te puakapa ra, 
GEN.4.21	Ko Iubala te ingoa o tona teina: ko te 
GEN.4.22	E anau akera oki ta Zila ko Tubala-kaina, e taunga ïa i te au taoonga katoa i te auri, e te veo nei: e te tuaine o Tubala-kaina ra ko Naama ïa. 
GEN.4.23	Kua karanga aturā Lameka ki nga vaine nana ra, E Ada e Zila, e akarongo mai i toku reo; e nga vaine a Lameka, e ariu mai i te taringa i taku tuatua: Kua ta rai oki au i te tangata ko au i paruparu na iaia, e tangata ou 
GEN.4.24	Kia taki itu i te tutaki ia Kaina ra, ka riro i te tataki itu ngauru e kia itu ara ia Lameka.
GEN.4.25	Kite akaou iorā Adamu i tana vaine; e kua anau atura aia, e tamaiti, 
GEN.4.26	E anau akera oki ta Seta, e tamaiti; e tapa iora aia i tona ingoa ko Enosa. I reira to te tangata 
GEN.5.1	TE 
GEN.5.2	I anga aia ia raua 
GEN.5.4	E to Adamu ra au rā i muri ake i tana anau anga ia Seta ra, e varu ïa anere mataiti: 
GEN.5.5	E to Adamu ra au rā katoa i te ora anga, e iva ïa anere e toru ngauru te mataiti: 
GEN.5.7	E noo iorā Seta i muri ake i tana anau anga ia Enosa ra, e varu akera anere e itu ara te mataiti; e anau iora oki te tamariki tamaroa, e te tamariki tamaine: 
GEN.5.8	E to Seta au rā katoa, e iva ïa anere, okotai ngauru, e rua ara te mataiti: e mate iora aia.
