MAT.2.8	Odokkc bv bulum Betelehempc mclvgto, scmpc lula, “Gvkang odokkc kowaodcm mcnggabdanna mata:ka, odokkc cdvlo nolu bvm mapa:ycnc ngom lutadlang, ngo:sin gvla:dopc odokkc bvm kumla:dopc.” 
MAT.2.9	Bulu migomdok agomdcm tadamge:la buluk gvpckolo:pc gvkang; odokkc ka:toka, bulu oko takardcm sanggato ka:tunganc cdc bulum gvgcla gvpongkang, cdc kowaodcm okolo otunganc odo dungkodo:pc gvla gvpv:ma:sisscm. 
MAT.2.10	Cdvlo cdc takardcm ka:begtonc, bulu mc:pobasudanna mc:poto, aipakpc mc:pokang; 
MAT.2.11	Odokkc okum arardo:pc gva:labulu Bvk anc Meri:kc lcdulo du:mvnnamdcm ka:to, odokkc bulu cgsordanna Bvm kumto. Odokkc, buluk airu:pc arckanc gasumkvdv:dcm sarrento, bulu Bvm amancm bito, avncm odokkc dunangcm odokkc namponc tulangcm. 
MAT.2.12	Odokkc Herodkolo:pc gvlatkuma:pcka cmna ma:nyi:bo lusvng lutadcm pa:la, bulu angu lambckolok av avkc dungko amo:pc gvngapkangku.
MAT.2.13	Cdcmpc idodcm cdvlo bulu gvngapkangkunc, ka:toka, ma:nyi:bo Ru:tumkc taycng among lutad lunckonc Jusepmc lcngkansuto odokkc luto, “Darobtoka, kowaodcm odokkc bvk ancdcm gvbotok, Ijippc dugsila gvbokangka, odokkc ngok lukuma:dodo:pc ollung du:lang; kapila:nc Herodbv kowaodcm magabge:la mokepc cmna marobbomdung.”
MAT.2.14	Odo bv darobto odokkc kowaodcmnang bvk ancdcm yummcm gvbokang, odokkc Ijippc gvpakbokang, 
MAT.2.15	odokkc Herodkc sidodo:pc ollung du:boto. Sc agom lungorla lunc tani:kvdv:dcm Ru:tumbv okodcm lutunganc cdcmpc ipcnamdcmpci ikang, “Ijipdokkcm ngok awodcm ngo goglentoku.”
MAT.2.16	Odo Herodbv po:lo takar do:yvng kinnc tani:kvdv:dc bvm yatto cmna kinto, dungkinyckinma:pc aglvng sangkang, odokkc odok dungko anin amo:dok dv:tak anyikoba cdcm ame:ya:nc milbong ko appv:dcm mokeamdopc tani:ycm mclvgto. 
MAT.2.17	Odo Jeremia: agom lungor luncbv okodcm lutaganc cdcmpc ikang:
MAT.2.18	“Rama:do kabnamclang bottaru:pc jc:la kaban bannamko tadbegto,
MAT.2.18	Rahelbv bvk ommangkvdv:dok lcgangc kabla: kabla;
MAT.2.18	bv kabtcrsulv:tomang, kapila:nc bulu kangaptomang.”
MAT.2.19	Ckvdaggom cdvlo Herodbv sika:nc, ka:toka, Ijipolo Ru:tumkc taycng among lutad lunckonc ma:nyi:bo Jusepmc lcngkansuto, scmpc lula, 
MAT.2.20	“Darobtoka, kowaodcm odokkc bvk ancdcm gvbokang, odokkc Israel dungkopc gvkangkuk, kapila:nc sc:kobulu kowaodcm mokepc cmna madaganc bulu singabka:bong.” 
MAT.2.21	Odokkc bv darobto odokkc kowaodc:lang ancdc:sin, odokkc Israel dungko amo:do:pc gvkangku. 
MAT.2.22	Ckvdaggom Arkelaubv bvk abu Herodkc du:tc:lo dung cmna cdvlo bv tadtonc, bv odopc gvpc pcsokang, odokkc ma:nyi:bo lusv:la lutadla:yam Galil jilado:pc gvgcla gvto. 
MAT.2.23	Odokkc bv Najaret cmnam nogordo:pc gvto odokkc du:boto, cdc agom lungorla lunc tani:kvdv:dc okodcm lutaganc cdcmpc iycpc cmna, jc “Bvm Najaret dokkc cmna gogycpc.”
MAT.3.1	Odo longckvdv:do Baptismo binc Jo:nbv, gvla Judiangkc yumra:do lugo:bito, 
MAT.3.2	“Mc:dvrra mcngkutsutoka, kapila:nc taycng amo:dc anindanka:bong.” 
MAT.3.3	Kapila:nc sc bv sc:kok agomcm agom lungorla lunc tani: Isaia:bv lutaganc,
MAT.3.3	“yumrangolo jc:la du:nc tani:kolok agomdc scmpc:
MAT.3.3	Ru:tumkc lambcm mopu:toka,
MAT.3.3	Bvk lambckvdv:dcm yvg cmmotoka.”
MAT.3.4	Cdc Jo:nbv u:tgure:lok amvdcm gcdagai, okokkc bvk vgv:do suktam asvg atakko yc:sutagai; odokkc bvk donamdc kosoni: takomclang yumra:lok tangudai. 
MAT.3.5	Odo bvkkolo:pc Jerusalemdokkc odokkc Judia:dok appv: dokkc odokkc Jordan anindok dungo:ycgong appv:dokkc gva:to, 
MAT.3.6	Odokkc bulu bvkkolo Jordan a:ncdo av avkc pa:bkvdv:dcm lude:yamsuge:la baptismongcm la:to.
MAT.3.7	Ckvdaggom bv ka:namc Parisi:kvdv: dokkcla: Sadduki: kvdv:dokkc bojcrungko baptismo langkapc gvdo, bv bulum luto, “Nolu airu:pc aima:nc tabv ope:yc! Sc:ko nolum a:pcnc bottcru:nc aglvngdokkc duggcdopc lutadno:ton? 
MAT.3.8	Mc:dvrra mcngkutsunamlok asinang gckampc gctoka, 
MAT.3.9	Odokkc nolu av avyv asinbo mc:suyoka, ‘Abrahambv ngoluk abbo dung;’ Kapila:nc ngo nolum lubidung, Ru:ncpvncbv sc vlvngkvdv:sokkcm Abrahamkcpc ommangcm lenmola:dag. 
MAT.3.10	Su:paksinci vsvng appvrkvdv:do vgv:dcm tvgabla lc:tung; ainc a:yc e:ma:nc vsvng appv:dcm cdcmpidag tc:tapdo odokkc vmvlo cra:lvgla rompakdo. 
MAT.3.11	‘Ngo nolum asin mc:dvrra mclatsukunam lcgangc baptismongcm bidung, cmpige:la sc:kobv ngok lcdupc gvmvndu:nc ngomyam tornam kaya:dag, sc:kokc panoti:ycm ngo jo:pci ainckomang; Bv nolum Angunnc Yalodokki odokkc vmvkokki baptismongcm biyc. 
MAT.3.12	Bvk kappunanc cpodc Bvk alakdo dung, odokkc Bv Bvk a:m yvkko lottadcm mopu:yc odokkc Bvk geu a:mkvdv:dcm kumsu:lo yarkumsuyc, cmpige:la amyangkvdv:dcm Bv cdvlosin momitla:ma:nam vmvlo romyc.’
MAT.3.13	Odo Jisubv Galildokkc gvla Jordanpc Jo:nkolo:pc gvto, bvkkokki baptismo la:pc cmna. 
MAT.3.14	Ckvdaggom Jo:nbv Bvm lutumto, scmpc lula, “Ngo nokkokki baptismo la:pcnammc, odokkc no ngokkolo:pc gvdolang?” 
MAT.3.15	Ckvdaggom Jisubv bvm lubito, “Scmpc su:pak imopo:tok; kapila:nc cdcmpc appvng dormo agercm ipvtgvpvtpcnamc.” Odo bv cdcmpc imoto. 
MAT.3.16	Odokkc Jisumc baptismo bitoncm, Bv asidokkc oddung daroptoku, odokkc ka:toka, taycngamo:tok yabgokvdv:dc moge:kang odokkc Ru:ncpvnckc Yalodc pckv pcttangkoncmpc dc:yi:dopc Bv ka:to odokkc Bvk avkc tayc:do dcnggabdopc ka:to; 
MAT.3.17	odokkc ka:tok, taycngamo:tokkc gomugko, scmpc lukang, “Sc ngok airu:pc aipc mc:nam Awwo, sckkolo ngo airu:pc mc:tv:sudoji.
MAT.4.1	Odo Jisumc Yalokokki yumra:pc gvbokang uidokki ka:bomc:bomokangkvpc cmna. 
MAT.4.2	Odokkc Bv yi:pi: longckolang yumcko doma:tv:ma:pc du:to, odokkc lcdupc Bv kcnongkangku. 
MAT.4.3	Odokkc ka:bomc:bomoka:ncdc gva:la bvm luto, “No Ru:ncpvnckc Awomvlo, sc vlvngkvdv:scm pita:pc idopc lulvgkvka,”
